LA,LC,Rate
1,9,0.938327577109453
1,10,0.882226908536167
1,11,0.77091802855377
1,12,0.657621888166129
1,13,0.474205204689988
1,14,0.237496082379584
1,15,0.00935689875120149
1,16,0
1,17,0
1,18,0
2,9,0.934027820667189
2,10,0.883828342326285
2,11,0.784345164093324
2,12,0.647540599706759
2,13,0.465174039404713
2,14,0.279148888246435
2,15,0.0114337179461013
2,16,0
2,17,0
2,18,0
3,9,0.937376692016636
3,10,0.883445623925549
3,11,0.796946328840416
3,12,0.65124828564097
3,13,0.478655671896379
3,14,0.245611612709067
3,15,0
3,16,0
3,17,0
3,18,0
4,9,0.921088956222013
4,10,0.889982599566487
4,11,0.797129591011741
4,12,0.627643552689227
4,13,0.473252940711587
4,14,0.252783212247708
4,15,0.00121145537657485
4,16,0
4,17,0
4,18,0
5,9,0.935852090268332
5,10,0.886490669520619
5,11,0.788616309277728
5,12,0.647463659856359
5,13,0.472040667273855
5,14,0.263846093244608
5,15,0
5,16,0
5,17,0
5,18,0
6,9,0.937873076842828
6,10,0.880588602670366
6,11,0.779974741597267
6,12,0.649236866344162
6,13,0.464206425272268
6,14,0.237201306483338
6,15,0.00996317621486464
6,16,0
6,17,0
6,18,0
7,9,0.938234167358647
7,10,0.878955448127255
7,11,0.807109545448131
7,12,0.656160354006575
7,13,0.462722149883293
7,14,0.261282274621475
7,15,0.0307285865004334
7,16,0
7,17,0
7,18,0
8,9,0.947609943839366
8,10,0.886211339847979
8,11,0.788124276498248
8,12,0.630618546008041
8,13,0.459312944241905
8,14,0.267494397401608
8,15,0.0214357953120775
8,16,0
8,17,0
8,18,0
9,9,0.931691004181441
9,10,0.877438614668729
9,11,0.778402383881359
9,12,0.644201549738839
9,13,0.457474367575525
9,14,0.261918466109519
9,15,0.0275440020491394
9,16,0
9,17,0
9,18,0
