LA,LC,Rate
1,1,0.966921479096992
1,2,0.961357267604309
1,3,0.969961158516792
1,4,0.961492285431925
1,5,0.965806349376315
1,6,0.952052805059682
1,7,0.960656421044174
1,8,0.954280723579678
1,9,0.93684716406081
1,10,0.869543409029855
1,11,0.785646497857696
1,12,0.635991328218253
1,13,0.453321289074259
1,14,0.248711831930351
1,15,0.0252628274714407
2,1,0.960338028703088
2,2,0.951535574057105
2,3,0.961396618131079
2,4,0.96505827404684
2,5,0.96083654619311
2,6,0.96096171403991
2,7,0.952948390615489
2,8,0.956811154137902
2,9,0.942324598533448
2,10,0.880979073838611
2,11,0.794936875224685
2,12,0.630116119175207
2,13,0.473672674467401
2,14,0.224249124393423
2,15,0
3,1,0.96445559393994
3,2,0.960370643629603
3,3,0.964935899696753
3,4,0.957865939433784
3,5,0.956340587835279
3,6,0.958398621967545
3,7,0.944962974761426
3,8,0.954443671430722
3,9,0.940929191768613
3,10,0.886647906436568
3,11,0.77858213421037
3,12,0.641006812118416
3,13,0.468845438438385
3,14,0.238810096713352
3,15,0.0196050175554019
4,1,0.96423859192307
4,2,0.955774745451479
4,3,0.957562523715168
4,4,0.961061158832217
4,5,0.974842730084369
4,6,0.955051437128534
4,7,0.968740969394297
4,8,0.948141553085593
4,9,0.949322596473235
4,10,0.88680784458635
4,11,0.798973245093762
4,12,0.655069706367863
4,13,0.462578370078997
4,14,0.245432664974424
4,15,0.0399646304553294
5,1,0.966074928634681
5,2,0.968089080461979
5,3,0.943125057651494
5,4,0.951482829176928
5,5,0.94921842994398
5,6,0.96621466850508
5,7,0.961987365357277
5,8,0.948523251531817
5,9,0.944057003770876
5,10,0.887660373397842
5,11,0.778451258910854
5,12,0.653681832763221
5,13,0.440565133865125
5,14,0.267877330690485
5,15,0.0272392865346168
6,1,0.962930709176839
6,2,0.965149760843323
6,3,0.960227156971876
6,4,0.967523186165354
6,5,0.96475872355539
6,6,0.951736781096543
6,7,0.964158535211367
6,8,0.955621870240762
6,9,0.935900241559504
6,10,0.891169146326481
6,11,0.801772915864231
6,12,0.670350941340219
6,13,0.485963718869529
6,14,0.266749221016577
6,15,0.0254254560979127
7,1,0.959568045507353
7,2,0.957950986632034
7,3,0.960038750279126
7,4,0.953147679131748
7,5,0.967543666147432
7,6,0.965162843629353
7,7,0.947103749221506
7,8,0.954222957354946
7,9,0.939624102146581
7,10,0.872694885304348
7,11,0.771042364071428
7,12,0.640865462597878
7,13,0.471910946495155
7,14,0.253997565718682
7,15,0.0364741782402077
8,1,0.952309204955523
8,2,0.962041097913527
8,3,0.953434222018449
8,4,0.967965414966963
8,5,0.954734526751234
8,6,0.961785613978541
8,7,0.955589842779748
8,8,0.959886533667935
8,9,0.934020556889435
8,10,0.888003176196494
8,11,0.793671143531186
8,12,0.637107571050363
8,13,0.476456503975718
8,14,0.253691029496017
8,15,0.00397528120329083
9,1,0.949148938450094
9,2,0.938850497248658
9,3,0.944708914771607
9,4,0.943617913133627
9,5,0.9421940461954
9,6,0.943458652438875
9,7,0.94022163646128
9,8,0.939218083216677
9,9,0.910893125441509
9,10,0.87256939994311
9,11,0.781193294043734
9,12,0.653123185592987
9,13,0.451171366515934
9,14,0.258025558400319
9,15,0.0416491208926735
10,1,0.907292970119952
10,2,0.88094673885088
10,3,0.88503026444355
10,4,0.88631749482969
10,5,0.87862232141359
10,6,0.880172684816606
10,7,0.892820648453851
10,8,0.880362080304187
10,9,0.873671247671487
10,10,0.846369334357192
10,11,0.746952870846536
10,12,0.613520428872086
10,13,0.441042144108167
10,14,0.224346872184323
10,15,0
11,1,0.79763181891043
11,2,0.80125820703651
11,3,0.779483475469896
11,4,0.79692398159326
11,5,0.777691267168333
11,6,0.807178188720177
11,7,0.791545025883124
11,8,0.79965965145419
11,9,0.763298393959434
11,10,0.760131167125147
11,11,0.725256060020496
11,12,0.599508280948077
11,13,0.413571300604982
11,14,0.221984459700915
11,15,0
12,1,0.669351106329685
12,2,0.665960034940754
12,3,0.661203540717821
12,4,0.664030983184065
12,5,0.652302294599894
12,6,0.650833422900883
12,7,0.642779734788341
12,8,0.65191881992269
12,9,0.640497167963987
12,10,0.62735384236101
12,11,0.562079183843221
12,12,0.524191997765354
12,13,0.393407817061802
12,14,0.175291308431496
12,15,0
13,1,0.476229644180248
13,2,0.461124346696989
13,3,0.465240664170002
13,4,0.4776665448768
13,5,0.477406709600424
13,6,0.489408180796028
13,7,0.49803847553618
13,8,0.460808042807141
13,9,0.456485258504675
13,10,0.450376528147385
13,11,0.42059271822901
13,12,0.366123558923256
13,13,0.322963031867229
13,14,0.11070772039775
13,15,0
14,1,0.290850110558807
14,2,0.257945632988624
14,3,0.261006448657798
14,4,0.261240471878578
14,5,0.283579187439325
14,6,0.277872660684031
14,7,0.261067040286171
14,8,0.26739702190755
14,9,0.256090526325529
14,10,0.241796301773244
14,11,0.227281112363874
14,12,0.21779582019528
14,13,0.13119734335424
14,14,0.071553107146158
14,15,0
15,1,0.028822763482571
15,2,0.0254970067587948
15,3,0.0357757250532577
15,4,0.0144264383507702
15,5,0.0489958441637292
15,6,0.0632915190640743
15,7,0.0312334961843798
15,8,0.0456505084609267
15,9,0.0505617479509305
15,10,0.0217717780725329
15,11,0.0148278008562003
15,12,0
15,13,0
15,14,0
15,15,0
