LA,LC,Rate
1,9,0.939172809292559
1,10,0.889105675085989
1,11,0.785216127713509
1,12,0.635143434803989
1,13,0.475621475520631
1,14,0.251177655376644
1,15,0.030723673820825
1,16,0
1,17,0
1,18,0
2,9,0.932839765268214
2,10,0.886269821508579
2,11,0.794919614824127
2,12,0.653709706276428
2,13,0.455132497987829
2,14,0.257172157319042
2,15,0.0228021505541745
2,16,0
2,17,0
2,18,0
3,9,0.938951050431365
3,10,0.884114496827887
3,11,0.779667148481122
3,12,0.642062798696621
3,13,0.469109537401019
3,14,0.248770624659589
3,15,0.026325837831101
3,16,0
3,17,0
3,18,0
4,9,0.931606406055297
4,10,0.880736901779466
4,11,0.799678616952879
4,12,0.661268799768643
4,13,0.469408317713401
4,14,0.259880050083249
4,15,0.00165489100790006
4,16,0
4,17,0
4,18,0
5,9,0.937793866625613
5,10,0.888652836171715
5,11,0.79641530558134
5,12,0.654431263888979
5,13,0.492575145911837
5,14,0.264249826648196
5,15,0.0232314794327403
5,16,0
5,17,0
5,18,0
6,9,0.940390879958967
6,10,0.881242581273625
6,11,0.793773042292615
6,12,0.640359249877412
6,13,0.448112254292615
6,14,0.265528650567337
6,15,0.0202424271596905
6,16,0
6,17,0
6,18,0
7,9,0.931608268762491
7,10,0.889363148616737
7,11,0.792860254121479
7,12,0.649195689731155
7,13,0.454291119233559
7,14,0.271621587102729
7,15,0.0536141235400909
7,16,0
7,17,0
7,18,0
8,9,0.927646600022885
8,10,0.880195369438926
8,11,0.784089731999666
8,12,0.65048666550766
8,13,0.453659169411654
8,14,0.246064302616617
8,15,0.0116925652286327
8,16,0
8,17,0
8,18,0
9,9,0.911536809607528
9,10,0.880360513695271
9,11,0.778840915748187
9,12,0.622671897627269
9,13,0.438521930069214
9,14,0.233953855905652
9,15,0.00366924700975457
9,16,0
9,17,0
9,18,0
