LA,LC,Rate
1,1,0.950722062465789
1,2,0.970633418478915
1,3,0.960229885709087
1,4,0.963077753169235
1,5,0.958885561803251
1,6,0.954817848162923
1,7,0.962713542213957
1,8,0.942495707744098
1,9,0.929259545442832
1,10,0.896359412338837
1,11,0.800937234106856
1,12,0.649273880335313
1,13,0.47725375082988
1,14,0.26771580015932
1,15,0.0473776434971337
2,1,0.959564672336961
2,2,0.971140267479739
2,3,0.959129185478436
2,4,0.962876865734247
2,5,0.952387848397528
2,6,0.957517710162874
2,7,0.960967598079902
2,8,0.948162548630878
2,9,0.941733755949614
2,10,0.895503336230258
2,11,0.797504824129819
2,12,0.657880675627309
2,13,0.443938031397017
2,14,0.243949890377947
2,15,0.0439313394527407
3,1,0.964383725401352
3,2,0.959430392677815
3,3,0.954546485476486
3,4,0.955025733969349
3,5,0.954959674087916
3,6,0.960480430604989
3,7,0.96364990065631
3,8,0.952542347462329
3,9,0.937915896194558
3,10,0.892446452278681
3,11,0.803818307286023
3,12,0.659787825157887
3,13,0.460363849015695
3,14,0.264123327273777
3,15,0.0129621144705584
4,1,0.964093858412018
4,2,0.972183130870364
4,3,0.958928148501684
4,4,0.96882576578634
4,5,0.969104248609935
4,6,0.964248589696735
4,7,0.958132396540125
4,8,0.949539526678028
4,9,0.934889100074992
4,10,0.894351224493833
4,11,0.794705963008976
4,12,0.658615891664974
4,13,0.470630451143454
4,14,0.257934764720263
4,15,0.013733202067106
5,1,0.966728870114543
5,2,0.964850733845076
5,3,0.96388340601296
5,4,0.959430392677815
5,5,0.957610651269964
5,6,0.964015046335259
5,7,0.96094672152108
5,8,0.960079862426827
5,9,0.932573877209018
5,10,0.885649366987902
5,11,0.787154483737178
5,12,0.632003589005139
5,13,0.483901691847406
5,14,0.261506708350058
5,15,0.00917018535068398
6,1,0.961545279812926
6,2,0.962263250637551
6,3,0.959375586838492
6,4,0.963749032471193
6,5,0.958913107418303
6,6,0.962302592472581
6,7,0.9495102902682
6,8,0.955332059328512
6,9,0.937659551173841
6,10,0.880677022348936
6,11,0.788064686272186
6,12,0.639845075280705
6,13,0.470732063668166
6,14,0.268401425134406
6,15,0.0585837190832402
7,1,0.96726038550031
7,2,0.954454274687748
7,3,0.954562686388512
7,4,0.955172492584705
7,5,0.95097853011325
7,6,0.960131395940517
7,7,0.956740388080803
7,8,0.960449028739561
7,9,0.940332646049733
7,10,0.895271961244571
7,11,0.802499872077757
7,12,0.648680456743077
7,13,0.464221103212554
7,14,0.267239053833902
7,15,0.0268219925119924
8,1,0.966521940025489
8,2,0.960547517660144
8,3,0.965676498833827
8,4,0.955902212151924
8,5,0.951223119020211
8,6,0.943808999326267
8,7,0.965489196701275
8,8,0.94243124002476
8,9,0.92994549180418
8,10,0.881099120816411
8,11,0.788956540560664
8,12,0.650799902341014
8,13,0.470899394559141
8,14,0.247804173135309
8,15,0.0178072890496681
9,1,0.939849697182166
9,2,0.9393211815985
9,3,0.94713330890108
9,4,0.942651112351902
9,5,0.945004719627463
9,6,0.947384809887134
9,7,0.940928895214546
9,8,0.941084107692236
9,9,0.919592406057974
9,10,0.860337638980787
9,11,0.771321653407724
9,12,0.6440438608912
9,13,0.470496815703854
9,14,0.258228944522187
9,15,0.0414985670306793
10,1,0.894835180051786
10,2,0.906274110510838
10,3,0.900466006821403
10,4,0.890602420171348
10,5,0.895159696804219
10,6,0.901989408433499
10,7,0.886045398178072
10,8,0.889911028074179
10,9,0.867613951095373
10,10,0.842872235751047
10,11,0.740651913424441
10,12,0.595798940294166
10,13,0.448339680473406
10,14,0.240075840677255
10,15,0.00290911044778852
11,1,0.788755166069648
11,2,0.809829641604847
11,3,0.790389126934617
11,4,0.818927890364198
11,5,0.799696204720474
11,6,0.796815998410306
11,7,0.817355937401148
11,8,0.823547461951291
11,9,0.791801425038575
11,10,0.761747812955873
11,11,0.730874535619461
11,12,0.600981654639569
11,13,0.431868398782204
11,14,0.233343291180745
11,15,0
12,1,0.674563338100304
12,2,0.649581969092353
12,3,0.66231223737585
12,4,0.647011826826301
12,5,0.674806470787674
12,6,0.669654937320529
12,7,0.646870305840878
12,8,0.667935783051487
12,9,0.668324818386116
12,10,0.62384849211056
12,11,0.578150347199335
12,12,0.544014907532508
12,13,0.374253462354722
12,14,0.181087004960014
12,15,0
13,1,0.469159792740888
13,2,0.482969132897824
13,3,0.466746215285268
13,4,0.466147095885032
13,5,0.474125748372849
13,6,0.484323229428211
13,7,0.486801371617919
13,8,0.50204472458795
13,9,0.463976776695624
13,10,0.431024885153715
13,11,0.409464622799202
13,12,0.374991952341531
13,13,0.325214669385534
13,14,0.13550459927738
13,15,0
14,1,0.238577497139397
14,2,0.287275557094541
14,3,0.26460881211264
14,4,0.261587918162126
14,5,0.279828724655459
14,6,0.262939744313845
14,7,0.271838563203928
14,8,0.290602836938723
14,9,0.232323162658482
14,10,0.234554239315338
14,11,0.224119844461543
14,12,0.195221932460314
14,13,0.125607055797452
14,14,0.067557083794371
14,15,0
15,1,0.0247623234468842
15,2,0.0407173672246992
15,3,0.04963507319994
15,4,0.0185056500812982
15,5,0.0286572134459795
15,6,0.0317278092685822
15,7,0.0409518082933159
15,8,0.0315544286491336
15,9,0.0398445321992934
15,10,0.0145855056915453
15,11,0.00389017973354155
15,12,0
15,13,0
15,14,0
15,15,0
