kA,kC,Rate
1,1,0.05666113287998
1,2,0.164219907569693
1,3,0.196598889391653
1,4,0.225866250922264
1,5,0.236234670548504
1,6,0.220211232645458
1,7,0.250929868140428
1,8,0.211689487796102
1,9,0.244265887577172
1,10,0.222376108576669
1,11,0.232070934603774
1,12,0.245753784762181
1,13,0.229313897359157
1,14,0.241994361425087
1,15,0.25987081147169
2,1,0.172714548934657
2,2,0.494213823058385
2,3,0.55093507574071
2,4,0.60130477077607
2,5,0.616074356473299
2,6,0.590909902704051
2,7,0.598883476586207
2,8,0.605900915768887
2,9,0.604967203662612
2,10,0.610441893339295
2,11,0.618723631998057
2,12,0.631100749636436
2,13,0.61145812534154
2,14,0.631104381051001
2,15,0.609656951997129
3,1,0.208352724581355
3,2,0.569293037791087
3,3,0.699788304318063
3,4,0.726233190712657
3,5,0.733795253629257
3,6,0.748310655862119
3,7,0.76847308658216
3,8,0.7560831156311
3,9,0.770532070994462
3,10,0.750576319634488
3,11,0.766301828262386
3,12,0.762933477003256
3,13,0.761953026509742
3,14,0.776210223554502
3,15,0.779037057841159
4,1,0.214026839451535
4,2,0.582968702161379
4,3,0.736688376047803
4,4,0.796663538641125
4,5,0.815306598063801
4,6,0.820853346093733
4,7,0.824303607355041
4,8,0.82289341552717
4,9,0.850348112753449
4,10,0.845187704080509
4,11,0.83944960853993
4,12,0.831998093532969
4,13,0.834714232185607
4,14,0.838874016653032
4,15,0.844070228965238
5,1,0.231524244284401
5,2,0.601500494227245
5,3,0.730839924973094
5,4,0.820026507264311
5,5,0.841332652751741
5,6,0.855636982338491
5,7,0.87610564200155
5,8,0.866633986052806
5,9,0.872946646129981
5,10,0.861147923625018
5,11,0.857059737326632
5,12,0.876326783802606
5,13,0.883806444078714
5,14,0.888440058464061
5,15,0.885733042650115
6,1,0.210945499825044
6,2,0.609618077594331
6,3,0.754389231311891
6,4,0.829871911059076
6,5,0.847374584958479
6,6,0.874418782649964
6,7,0.882513707889278
6,8,0.902002131138889
6,9,0.894133326720346
6,10,0.884072302792839
6,11,0.890276482780285
6,12,0.894146503392808
6,13,0.885962563228405
6,14,0.902028962125492
6,15,0.903065262865833
7,1,0.25873401240318
7,2,0.609962991964639
7,3,0.764709649113781
7,4,0.820159755746503
7,5,0.876142708532658
7,6,0.896961124541245
7,7,0.891032444043637
7,8,0.884692477104485
7,9,0.901194092696242
7,10,0.894087565738762
7,11,0.911088953611054
7,12,0.924948160834527
7,13,0.919782322598031
7,14,0.916013045821602
7,15,0.92346601067156
8,1,0.243698791253815
8,2,0.649967335885068
8,3,0.753737975722867
8,4,0.827595214049635
8,5,0.862689606414036
8,6,0.885775069207817
8,7,0.892055145456911
8,8,0.898531864442093
8,9,0.91817393511748
8,10,0.917537860395741
8,11,0.915142477946279
8,12,0.924215652591506
8,13,0.906421202968351
8,14,0.916840073045222
8,15,0.92449797337863
9,1,0.22028492742535
9,2,0.634029234571693
9,3,0.763985591070383
9,4,0.840208234462865
9,5,0.880993646247225
9,6,0.896083421493373
9,7,0.899794953052311
9,8,0.911108681523764
9,9,0.898553920177427
9,10,0.926051908160506
9,11,0.91896253329451
9,12,0.910631147073885
9,13,0.916508990771196
9,14,0.91792585302629
9,15,0.929484398465129
10,1,0.221710198117139
10,2,0.627462972945612
10,3,0.75107309195172
10,4,0.828950391450136
10,5,0.866445664704886
10,6,0.885967106563653
10,7,0.907886208685569
10,8,0.919051912581782
10,9,0.916012008454545
10,10,0.9289231561919
10,11,0.922229061657045
10,12,0.93838370769726
10,13,0.923061341431136
10,14,0.933586525380809
10,15,0.917013685188107
11,1,0.212160138685326
11,2,0.637777981461717
11,3,0.78311686021174
11,4,0.834564702287274
11,5,0.867557000121229
11,6,0.905194971683657
11,7,0.907567705837979
11,8,0.92024004021518
11,9,0.926536706417766
11,10,0.940322739593838
11,11,0.931367958139038
11,12,0.924367306593158
11,13,0.926402314553488
11,14,0.940971327625776
11,15,0.928047877459127
12,1,0.2173912507594
12,2,0.633963299794013
12,3,0.758892524301369
12,4,0.836229107197942
12,5,0.874066554635262
12,6,0.893135100575224
12,7,0.910073407709067
12,8,0.923262760444668
12,9,0.918454766701998
12,10,0.927008181096959
12,11,0.916684317792293
12,12,0.937864129713847
12,13,0.935676497947748
12,14,0.923945405784017
12,15,0.944740703662237
13,1,0.261694268682817
13,2,0.620654746682259
13,3,0.780237380397276
13,4,0.833564632947072
13,5,0.891304963780037
13,6,0.898516424997912
13,7,0.905165709999864
13,8,0.909727517722527
13,9,0.926532402485644
13,10,0.90963974897724
13,11,0.930560988240547
13,12,0.930865828578395
13,13,0.935342203187074
13,14,0.944959865134104
13,15,0.936405044059519
14,1,0.235384466525365
14,2,0.61627989822611
14,3,0.78669459577389
14,4,0.83683188680939
14,5,0.878718725253327
14,6,0.90142587155
14,7,0.912499407530848
14,8,0.92178470969005
14,9,0.928456583492852
14,10,0.935083810030617
14,11,0.929032477484478
14,12,0.92089603425188
14,13,0.928621098265787
14,14,0.93580743299964
14,15,0.945038483900396
15,1,0.252627665049141
15,2,0.622517010330922
15,3,0.770932545693329
15,4,0.842992387980907
15,5,0.866852814552789
15,6,0.874387375090147
15,7,0.917218918018578
15,8,0.919042772179507
15,9,0.934851716234797
15,10,0.931249431913235
15,11,0.933595609516752
15,12,0.943394855006321
15,13,0.932317816564671
15,14,0.929120074692559
15,15,0.931813009143193
