kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,2,0,1,0.113125763468843,0,0.113125763468843
2,1,1,0,0,0,0,0
2,2,0,0,0,0,0,0
3,0,3,0,1,0.113125763468843,0,0.113125763468843
3,1,2,0,1,0.113125763468843,0,0.113125763468843
3,2,1,0,0,0,0,0
3,3,0,1,0,0,0,0
4,0,4,0,2,0.435745424410378,0,0.435745424410378
4,1,3,0,1,0.113125763468843,0,0.113125763468843
4,2,2,0,1,0.113125763468843,0,0.113125763468843
4,3,1,1,0,0,0,0
4,4,0,1,0,0,0,0
5,0,5,0,2,0.435745424410378,0,0.435745424410378
5,1,4,0,2,0.435745424410378,0,0.435745424410378
5,2,3,0,1,0.113125763468843,0,0.113125763468843
5,3,2,1,1,0.113125763468843,0,0.113125763468843
5,4,1,1,0,0,0,0
5,5,0,1,0,0,0,0
6,0,6,0,3,0.863198605973166,0,0.863198605973166
6,1,5,0,2,0.435745424410378,0,0.435745424410378
6,2,4,0,2,0.435745424410378,0,0.435745424410378
6,3,3,1,1,0.113125763468843,0,0.113125763468843
6,4,2,1,1,0.113125763468843,0,0.113125763468843
6,5,1,1,0,0,0,0
6,6,0,2,0,0.412960517107589,0.412960517107589,0
7,0,7,0,3,0.863198605973166,0,0.863198605973166
7,1,6,0,3,0.863198605973166,0,0.863198605973166
7,2,5,0,2,0.435745424410378,0,0.435745424410378
7,3,4,1,2,0.435745424410378,0,0.435745424410378
7,4,3,1,1,0.113125763468843,0,0.113125763468843
7,5,2,1,1,0.113125763468843,0,0.113125763468843
7,6,1,2,0,0.412960517107589,0.412960517107589,0
7,7,0,2,0,0.412960517107589,0.412960517107589,0
8,0,8,0,4,1.24857525579314,0,1.24857525579314
8,1,7,0,3,0.863198605973166,0,0.863198605973166
8,2,6,0,3,0.863198605973166,0,0.863198605973166
8,3,5,1,2,0.435745424410378,0,0.435745424410378
8,4,4,1,2,0.435745424410378,0,0.435745424410378
8,5,3,1,1,0.113125763468843,0,0.113125763468843
8,6,2,2,1,0.526086280576432,0.412960517107589,0.113125763468843
8,7,1,2,0,0.412960517107589,0.412960517107589,0
8,8,0,2,0,0.412960517107589,0.412960517107589,0
9,0,9,0,4,1.24857525579314,0,1.24857525579314
9,1,8,0,4,1.24857525579314,0,1.24857525579314
9,2,7,0,3,0.863198605973166,0,0.863198605973166
9,3,6,1,3,0.863198605973166,0,0.863198605973166
9,4,5,1,2,0.435745424410378,0,0.435745424410378
9,5,4,1,2,0.435745424410378,0,0.435745424410378
9,6,3,2,1,0.526086280576432,0.412960517107589,0.113125763468843
9,7,2,2,1,0.526086280576432,0.412960517107589,0.113125763468843
9,8,1,2,0,0.412960517107589,0.412960517107589,0
9,9,0,3,0,0.729984568755643,0.729984568755643,0
10,0,10,0,5,1.65016088744874,0,1.65016088744874
10,1,9,0,4,1.24857525579314,0,1.24857525579314
10,2,8,0,4,1.24857525579314,0,1.24857525579314
10,3,7,1,3,0.863198605973166,0,0.863198605973166
10,4,6,1,3,0.863198605973166,0,0.863198605973166
10,5,5,1,2,0.435745424410378,0,0.435745424410378
10,6,4,2,2,0.848705941517967,0.412960517107589,0.435745424410378
10,7,3,2,1,0.526086280576432,0.412960517107589,0.113125763468843
10,8,2,2,1,0.526086280576432,0.412960517107589,0.113125763468843
10,9,1,3,0,0.729984568755643,0.729984568755643,0
10,10,0,3,0,0.729984568755643,0.729984568755643,0
11,0,11,0,5,1.65016088744874,0,1.65016088744874
11,1,10,0,5,1.65016088744874,0,1.65016088744874
11,2,9,0,4,1.24857525579314,0,1.24857525579314
11,3,8,1,4,1.24857525579314,0,1.24857525579314
11,4,7,1,3,0.863198605973166,0,0.863198605973166
11,5,6,1,3,0.863198605973166,0,0.863198605973166
11,6,5,2,2,0.848705941517967,0.412960517107589,0.435745424410378
11,7,4,2,2,0.848705941517967,0.412960517107589,0.435745424410378
11,8,3,2,1,0.526086280576432,0.412960517107589,0.113125763468843
11,9,2,3,1,0.843110332224486,0.729984568755643,0.113125763468843
11,10,1,3,0,0.729984568755643,0.729984568755643,0
11,11,0,3,0,0.729984568755643,0.729984568755643,0
12,0,12,0,6,2.09233464067478,0,2.09233464067478
12,1,11,0,5,1.65016088744874,0,1.65016088744874
12,2,10,0,5,1.65016088744874,0,1.65016088744874
12,3,9,1,4,1.24857525579314,0,1.24857525579314
12,4,8,1,4,1.24857525579314,0,1.24857525579314
12,5,7,1,3,0.863198605973166,0,0.863198605973166
12,6,6,2,3,1.27615912308075,0.412960517107589,0.863198605973166
12,7,5,2,2,0.848705941517967,0.412960517107589,0.435745424410378
12,8,4,2,2,0.848705941517967,0.412960517107589,0.435745424410378
12,9,3,3,1,0.843110332224486,0.729984568755643,0.113125763468843
12,10,2,3,1,0.843110332224486,0.729984568755643,0.113125763468843
