kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,2,0,1,0.113267638433117,0,0.113267638433117
2,1,1,0,0,0,0,0
2,2,0,0,0,0,0,0
3,0,3,0,1,0.113267638433117,0,0.113267638433117
3,1,2,0,1,0.113267638433117,0,0.113267638433117
3,2,1,0,0,0,0,0
3,3,0,0,0,0,0,0
4,0,4,0,2,0.435805605070834,0,0.435805605070834
4,1,3,0,1,0.113267638433117,0,0.113267638433117
4,2,2,0,1,0.113267638433117,0,0.113267638433117
4,3,1,0,0,0,0,0
4,4,0,1,0,0,0,0
5,0,5,0,2,0.435805605070834,0,0.435805605070834
5,1,4,0,2,0.435805605070834,0,0.435805605070834
5,2,3,0,1,0.113267638433117,0,0.113267638433117
5,3,2,0,1,0.113267638433117,0,0.113267638433117
5,4,1,1,0,0,0,0
5,5,0,1,0,0,0,0
6,0,6,0,3,0.864410182386921,0,0.864410182386921
6,1,5,0,2,0.435805605070834,0,0.435805605070834
6,2,4,0,2,0.435805605070834,0,0.435805605070834
6,3,3,0,1,0.113267638433117,0,0.113267638433117
6,4,2,1,1,0.113267638433117,0,0.113267638433117
6,5,1,1,0,0,0,0
6,6,0,1,0,0,0,0
7,0,7,0,3,0.864410182386921,0,0.864410182386921
7,1,6,0,3,0.864410182386921,0,0.864410182386921
7,2,5,0,2,0.435805605070834,0,0.435805605070834
7,3,4,0,2,0.435805605070834,0,0.435805605070834
7,4,3,1,1,0.113267638433117,0,0.113267638433117
7,5,2,1,1,0.113267638433117,0,0.113267638433117
7,6,1,1,0,0,0,0
7,7,0,1,0,0,0,0
8,0,8,0,4,1.24772366167855,0,1.24772366167855
8,1,7,0,3,0.864410182386921,0,0.864410182386921
8,2,6,0,3,0.864410182386921,0,0.864410182386921
8,3,5,0,2,0.435805605070834,0,0.435805605070834
8,4,4,1,2,0.435805605070834,0,0.435805605070834
8,5,3,1,1,0.113267638433117,0,0.113267638433117
8,6,2,1,1,0.113267638433117,0,0.113267638433117
8,7,1,1,0,0,0,0
8,8,0,2,0,0.202365919094748,0.202365919094748,0
9,0,9,0,4,1.24772366167855,0,1.24772366167855
9,1,8,0,4,1.24772366167855,0,1.24772366167855
9,2,7,0,3,0.864410182386921,0,0.864410182386921
9,3,6,0,3,0.864410182386921,0,0.864410182386921
9,4,5,1,2,0.435805605070834,0,0.435805605070834
9,5,4,1,2,0.435805605070834,0,0.435805605070834
9,6,3,1,1,0.113267638433117,0,0.113267638433117
9,7,2,1,1,0.113267638433117,0,0.113267638433117
9,8,1,2,0,0.202365919094748,0.202365919094748,0
9,9,0,2,0,0.202365919094748,0.202365919094748,0
10,0,10,0,5,1.64953054442425,0,1.64953054442425
10,1,9,0,4,1.24772366167855,0,1.24772366167855
10,2,8,0,4,1.24772366167855,0,1.24772366167855
10,3,7,0,3,0.864410182386921,0,0.864410182386921
10,4,6,1,3,0.864410182386921,0,0.864410182386921
10,5,5,1,2,0.435805605070834,0,0.435805605070834
10,6,4,1,2,0.435805605070834,0,0.435805605070834
10,7,3,1,1,0.113267638433117,0,0.113267638433117
10,8,2,2,1,0.315633557527866,0.202365919094748,0.113267638433117
10,9,1,2,0,0.202365919094748,0.202365919094748,0
10,10,0,2,0,0.202365919094748,0.202365919094748,0
11,0,11,0,5,1.64953054442425,0,1.64953054442425
11,1,10,0,5,1.64953054442425,0,1.64953054442425
11,2,9,0,4,1.24772366167855,0,1.24772366167855
11,3,8,0,4,1.24772366167855,0,1.24772366167855
11,4,7,1,3,0.864410182386921,0,0.864410182386921
11,5,6,1,3,0.864410182386921,0,0.864410182386921
11,6,5,1,2,0.435805605070834,0,0.435805605070834
11,7,4,1,2,0.435805605070834,0,0.435805605070834
11,8,3,2,1,0.315633557527866,0.202365919094748,0.113267638433117
11,9,2,2,1,0.315633557527866,0.202365919094748,0.113267638433117
11,10,1,2,0,0.202365919094748,0.202365919094748,0
11,11,0,2,0,0.202365919094748,0.202365919094748,0
12,0,12,0,6,2.09279857382617,0,2.09279857382617
12,1,11,0,5,1.64953054442425,0,1.64953054442425
12,2,10,0,5,1.64953054442425,0,1.64953054442425
12,3,9,0,4,1.24772366167855,0,1.24772366167855
12,4,8,1,4,1.24772366167855,0,1.24772366167855
12,5,7,1,3,0.864410182386921,0,0.864410182386921
12,6,6,1,3,0.864410182386921,0,0.864410182386921
12,7,5,1,2,0.435805605070834,0,0.435805605070834
12,8,4,2,2,0.638171524165582,0.202365919094748,0.435805605070834
12,9,3,2,1,0.315633557527866,0.202365919094748,0.113267638433117
12,10,2,2,1,0.315633557527866,0.202365919094748,0.113267638433117
12,11,1,2,0,0.202365919094748,0.202365919094748,0
12,12,0,3,0,0.425397741774994,0.425397741774994,0
13,0,13,0,6,2.09279857382617,0,2.09279857382617
13,1,12,0,6,2.09279857382617,0,2.09279857382617
