kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,2,0,1,0.112695584634154,0,0.112695584634154
2,1,1,0,0,0,0,0
2,2,0,0,0,0,0,0
3,0,3,0,1,0.112695584634154,0,0.112695584634154
3,1,2,0,1,0.112695584634154,0,0.112695584634154
3,2,1,0,0,0,0,0
3,3,0,0,0,0,0,0
4,0,4,0,2,0.435450542538613,0,0.435450542538613
4,1,3,0,1,0.112695584634154,0,0.112695584634154
4,2,2,0,1,0.112695584634154,0,0.112695584634154
4,3,1,0,0,0,0,0
4,4,0,1,0,0,0,0
5,0,5,0,2,0.435450542538613,0,0.435450542538613
5,1,4,0,2,0.435450542538613,0,0.435450542538613
5,2,3,0,1,0.112695584634154,0,0.112695584634154
5,3,2,0,1,0.112695584634154,0,0.112695584634154
5,4,1,1,0,0,0,0
5,5,0,1,0,0,0,0
6,0,6,0,3,0.864790531391527,0,0.864790531391527
6,1,5,0,2,0.435450542538613,0,0.435450542538613
6,2,4,0,2,0.435450542538613,0,0.435450542538613
6,3,3,0,1,0.112695584634154,0,0.112695584634154
6,4,2,1,1,0.112695584634154,0,0.112695584634154
6,5,1,1,0,0,0,0
6,6,0,1,0,0,0,0
7,0,7,0,3,0.864790531391527,0,0.864790531391527
7,1,6,0,3,0.864790531391527,0,0.864790531391527
7,2,5,0,2,0.435450542538613,0,0.435450542538613
7,3,4,0,2,0.435450542538613,0,0.435450542538613
7,4,3,1,1,0.112695584634154,0,0.112695584634154
7,5,2,1,1,0.112695584634154,0,0.112695584634154
7,6,1,1,0,0,0,0
7,7,0,1,0,0,0,0
8,0,8,0,4,1.24895295696122,0,1.24895295696122
8,1,7,0,3,0.864790531391527,0,0.864790531391527
8,2,6,0,3,0.864790531391527,0,0.864790531391527
8,3,5,0,2,0.435450542538613,0,0.435450542538613
8,4,4,1,2,0.435450542538613,0,0.435450542538613
8,5,3,1,1,0.112695584634154,0,0.112695584634154
8,6,2,1,1,0.112695584634154,0,0.112695584634154
8,7,1,1,0,0,0,0
8,8,0,2,0,0.206443105529449,0.206443105529449,0
9,0,9,0,4,1.24895295696122,0,1.24895295696122
9,1,8,0,4,1.24895295696122,0,1.24895295696122
9,2,7,0,3,0.864790531391527,0,0.864790531391527
9,3,6,0,3,0.864790531391527,0,0.864790531391527
9,4,5,1,2,0.435450542538613,0,0.435450542538613
9,5,4,1,2,0.435450542538613,0,0.435450542538613
9,6,3,1,1,0.112695584634154,0,0.112695584634154
9,7,2,1,1,0.112695584634154,0,0.112695584634154
9,8,1,2,0,0.206443105529449,0.206443105529449,0
9,9,0,2,0,0.206443105529449,0.206443105529449,0
10,0,10,0,5,1.65012807532488,0,1.65012807532488
10,1,9,0,4,1.24895295696122,0,1.24895295696122
10,2,8,0,4,1.24895295696122,0,1.24895295696122
10,3,7,0,3,0.864790531391527,0,0.864790531391527
10,4,6,1,3,0.864790531391527,0,0.864790531391527
10,5,5,1,2,0.435450542538613,0,0.435450542538613
10,6,4,1,2,0.435450542538613,0,0.435450542538613
10,7,3,1,1,0.112695584634154,0,0.112695584634154
10,8,2,2,1,0.319138690163603,0.206443105529449,0.112695584634154
10,9,1,2,0,0.206443105529449,0.206443105529449,0
10,10,0,2,0,0.206443105529449,0.206443105529449,0
11,0,11,0,5,1.65012807532488,0,1.65012807532488
11,1,10,0,5,1.65012807532488,0,1.65012807532488
11,2,9,0,4,1.24895295696122,0,1.24895295696122
11,3,8,0,4,1.24895295696122,0,1.24895295696122
11,4,7,1,3,0.864790531391527,0,0.864790531391527
11,5,6,1,3,0.864790531391527,0,0.864790531391527
11,6,5,1,2,0.435450542538613,0,0.435450542538613
11,7,4,1,2,0.435450542538613,0,0.435450542538613
11,8,3,2,1,0.319138690163603,0.206443105529449,0.112695584634154
11,9,2,2,1,0.319138690163603,0.206443105529449,0.112695584634154
11,10,1,2,0,0.206443105529449,0.206443105529449,0
11,11,0,2,0,0.206443105529449,0.206443105529449,0
12,0,12,0,6,2.09214255179672,0,2.09214255179672
12,1,11,0,5,1.65012807532488,0,1.65012807532488
12,2,10,0,5,1.65012807532488,0,1.65012807532488
12,3,9,0,4,1.24895295696122,0,1.24895295696122
12,4,8,1,4,1.24895295696122,0,1.24895295696122
12,5,7,1,3,0.864790531391527,0,0.864790531391527
12,6,6,1,3,0.864790531391527,0,0.864790531391527
12,7,5,1,2,0.435450542538613,0,0.435450542538613
12,8,4,2,2,0.641893648068063,0.206443105529449,0.435450542538613
12,9,3,2,1,0.319138690163603,0.206443105529449,0.112695584634154
12,10,2,2,1,0.319138690163603,0.206443105529449,0.112695584634154
12,11,1,2,0,0.206443105529449,0.206443105529449,0
12,12,0,3,0,0.43789182171698,0.43789182171698,0
13,0,13,0,6,2.09214255179672,0,2.09214255179672
13,1,12,0,6,2.09214255179672,0,2.09214255179672
