kSW,kGHZ,kBell,kA_GHZ,kB_GHZ,kC_GHZ,kA_Bell,kC_Bell,kA_Joint,kB_Joint,kC_Joint,policy,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0,0,0,0,GHZ_priority,0,0,0
1,0,1,0,0,0,0,0,0,0,0,Bell_priority,0,0,0
1,1,0,0,0,0,0,0,0,0,0,GHZ_priority,0,0,0
1,1,0,0,0,0,0,0,0,0,0,Bell_priority,0,0,0
2,0,2,0,0,0,1,1,1,0,1,GHZ_priority,0.129497057100225,0,0.129497057100225
2,0,2,0,0,0,1,1,1,0,1,Bell_priority,0.128335574764903,0,0.128335574764903
2,1,1,0,0,0,0,0,0,0,0,GHZ_priority,0,0,0
2,1,1,0,0,0,0,0,0,0,0,Bell_priority,0,0,0
2,2,0,0,0,0,0,0,0,0,0,GHZ_priority,0,0,0
2,2,0,0,0,0,0,0,0,0,0,Bell_priority,0,0,0
3,0,3,0,0,0,1,1,1,0,1,GHZ_priority,0.0971217181859153,0,0.0971217181859153
3,0,3,0,0,0,1,1,1,0,1,Bell_priority,0.0971217181859153,0,0.0971217181859153
3,1,2,0,0,0,1,1,1,0,1,GHZ_priority,0.118919605202731,0,0.118919605202731
3,1,2,0,0,0,1,1,1,0,1,Bell_priority,0.118919605202731,0,0.118919605202731
3,2,1,0,0,0,0,0,0,0,0,GHZ_priority,0,0,0
3,2,1,0,0,0,0,0,0,0,0,Bell_priority,0,0,0
3,3,0,1,1,1,0,0,1,1,1,GHZ_priority,0,0,0
3,3,0,1,1,1,0,0,1,1,1,Bell_priority,0,0,0
4,0,4,0,0,0,2,2,2,0,2,GHZ_priority,0.433828675617077,0,0.433828675617077
4,0,4,0,0,0,2,2,2,0,2,Bell_priority,0.433828675617077,0,0.433828675617077
4,1,3,0,0,0,1,1,1,0,1,GHZ_priority,0.105930346047359,0,0.105930346047359
4,1,3,0,0,0,1,1,1,0,1,Bell_priority,0.105930346047359,0,0.105930346047359
4,2,2,0,0,0,1,1,1,0,1,GHZ_priority,0.0773071500997209,0,0.0773071500997209
4,2,2,0,0,0,1,1,1,0,1,Bell_priority,0.0783734510366468,0,0.0783734510366468
4,3,1,1,1,1,0,0,1,1,1,GHZ_priority,0,0,0
4,3,1,1,1,1,0,0,1,1,1,Bell_priority,0,0,0
4,4,0,1,1,1,0,0,1,1,1,GHZ_priority,0,0,0
