kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,2,0,1,0.0940864181139464,0,0.0940864181139464
2,1,1,0,0,0,0,0
2,2,0,0,0,0,0,0
3,0,3,0,1,0.0940864181139464,0,0.0940864181139464
3,1,2,0,1,0.0940864181139464,0,0.0940864181139464
3,2,1,0,0,0,0,0
3,3,0,1,0,0,0,0
4,0,4,0,2,0.399569925011214,0,0.399569925011214
4,1,3,0,1,0.0940864181139464,0,0.0940864181139464
4,2,2,0,1,0.0940864181139464,0,0.0940864181139464
4,3,1,1,0,0,0,0
4,4,0,1,0,0,0,0
5,0,5,0,2,0.399569925011214,0,0.399569925011214
5,1,4,0,2,0.399569925011214,0,0.399569925011214
5,2,3,0,1,0.0940864181139464,0,0.0940864181139464
5,3,2,1,1,0.0940864181139464,0,0.0940864181139464
5,4,1,1,0,0,0,0
5,5,0,1,0,0,0,0
6,0,6,0,3,0.885511775987564,0,0.885511775987564
6,1,5,0,2,0.399569925011214,0,0.399569925011214
6,2,4,0,2,0.399569925011214,0,0.399569925011214
6,3,3,1,1,0.0940864181139464,0,0.0940864181139464
6,4,2,1,1,0.0940864181139464,0,0.0940864181139464
6,5,1,1,0,0,0,0
6,6,0,2,0,0.199781559051765,0.199781559051765,0
7,0,7,0,3,0.885511775987564,0,0.885511775987564
7,1,6,0,3,0.885511775987564,0,0.885511775987564
7,2,5,0,2,0.399569925011214,0,0.399569925011214
7,3,4,1,2,0.399569925011214,0,0.399569925011214
7,4,3,1,1,0.0940864181139464,0,0.0940864181139464
7,5,2,1,1,0.0940864181139464,0,0.0940864181139464
7,6,1,2,0,0.199781559051765,0.199781559051765,0
7,7,0,2,0,0.199781559051765,0.199781559051765,0
8,0,8,0,4,1.60326469030615,0,1.60326469030615
8,1,7,0,3,0.885511775987564,0,0.885511775987564
8,2,6,0,3,0.885511775987564,0,0.885511775987564
8,3,5,1,2,0.399569925011214,0,0.399569925011214
8,4,4,1,2,0.399569925011214,0,0.399569925011214
8,5,3,1,1,0.0940864181139464,0,0.0940864181139464
8,6,2,2,1,0.293867977165711,0.199781559051765,0.0940864181139464
8,7,1,2,0,0.199781559051765,0.199781559051765,0
8,8,0,2,0,0.199781559051765,0.199781559051765,0
9,0,9,0,4,1.60326469030615,0,1.60326469030615
9,1,8,0,4,1.60326469030615,0,1.60326469030615
9,2,7,0,3,0.885511775987564,0,0.885511775987564
9,3,6,1,3,0.885511775987564,0,0.885511775987564
9,4,5,1,2,0.399569925011214,0,0.399569925011214
9,5,4,1,2,0.399569925011214,0,0.399569925011214
9,6,3,2,1,0.293867977165711,0.199781559051765,0.0940864181139464
9,7,2,2,1,0.293867977165711,0.199781559051765,0.0940864181139464
9,8,1,2,0,0.199781559051765,0.199781559051765,0
9,9,0,3,0,0.390518142101387,0.390518142101387,0
10,0,10,0,5,1.73728321424427,0,1.73728321424427
10,1,9,0,4,1.60326469030615,0,1.60326469030615
10,2,8,0,4,1.60326469030615,0,1.60326469030615
10,3,7,1,3,0.885511775987564,0,0.885511775987564
10,4,6,1,3,0.885511775987564,0,0.885511775987564
10,5,5,1,2,0.399569925011214,0,0.399569925011214
10,6,4,2,2,0.599351484062979,0.199781559051765,0.399569925011214
10,7,3,2,1,0.293867977165711,0.199781559051765,0.0940864181139464
10,8,2,2,1,0.293867977165711,0.199781559051765,0.0940864181139464
10,9,1,3,0,0.390518142101387,0.390518142101387,0
10,10,0,3,0,0.390518142101387,0.390518142101387,0
11,0,11,0,5,1.73728321424427,0,1.73728321424427
11,1,10,0,5,1.73728321424427,0,1.73728321424427
11,2,9,0,4,1.60326469030615,0,1.60326469030615
11,3,8,1,4,1.60326469030615,0,1.60326469030615
11,4,7,1,3,0.885511775987564,0,0.885511775987564
11,5,6,1,3,0.885511775987564,0,0.885511775987564
11,6,5,2,2,0.599351484062979,0.199781559051765,0.399569925011214
11,7,4,2,2,0.599351484062979,0.199781559051765,0.399569925011214
11,8,3,2,1,0.293867977165711,0.199781559051765,0.0940864181139464
11,9,2,3,1,0.484604560215333,0.390518142101387,0.0940864181139464
11,10,1,3,0,0.390518142101387,0.390518142101387,0
11,11,0,3,0,0.390518142101387,0.390518142101387,0
12,0,12,0,6,2.26589923697735,0,2.26589923697735
12,1,11,0,5,1.73728321424427,0,1.73728321424427
12,2,10,0,5,1.73728321424427,0,1.73728321424427
12,3,9,1,4,1.60326469030615,0,1.60326469030615
12,4,8,1,4,1.60326469030615,0,1.60326469030615
12,5,7,1,3,0.885511775987564,0,0.885511775987564
12,6,6,2,3,1.08529333503933,0.199781559051765,0.885511775987564
12,7,5,2,2,0.599351484062979,0.199781559051765,0.399569925011214
12,8,4,2,2,0.599351484062979,0.199781559051765,0.399569925011214
12,9,3,3,1,0.484604560215333,0.390518142101387,0.0940864181139464
