kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,2,0,1,0.112440852435657,0,0.112440852435657
2,1,1,0,0,0,0,0
2,2,0,0,0,0,0,0
3,0,3,0,1,0.112440852435657,0,0.112440852435657
3,1,2,0,1,0.112440852435657,0,0.112440852435657
3,2,1,0,0,0,0,0
3,3,0,0,0,0,0,0
4,0,4,0,2,0.434745566747388,0,0.434745566747388
4,1,3,0,1,0.112440852435657,0,0.112440852435657
4,2,2,0,1,0.112440852435657,0,0.112440852435657
4,3,1,0,0,0,0,0
4,4,0,1,0,0,0,0
5,0,5,0,2,0.434745566747388,0,0.434745566747388
5,1,4,0,2,0.434745566747388,0,0.434745566747388
5,2,3,0,1,0.112440852435657,0,0.112440852435657
5,3,2,0,1,0.112440852435657,0,0.112440852435657
5,4,1,1,0,0,0,0
5,5,0,1,0,0,0,0
6,0,6,0,3,0.864186783067182,0,0.864186783067182
6,1,5,0,2,0.434745566747388,0,0.434745566747388
6,2,4,0,2,0.434745566747388,0,0.434745566747388
6,3,3,0,1,0.112440852435657,0,0.112440852435657
6,4,2,1,1,0.112440852435657,0,0.112440852435657
6,5,1,1,0,0,0,0
6,6,0,1,0,0,0,0
7,0,7,0,3,0.864186783067182,0,0.864186783067182
7,1,6,0,3,0.864186783067182,0,0.864186783067182
7,2,5,0,2,0.434745566747388,0,0.434745566747388
7,3,4,0,2,0.434745566747388,0,0.434745566747388
7,4,3,1,1,0.112440852435657,0,0.112440852435657
7,5,2,1,1,0.112440852435657,0,0.112440852435657
7,6,1,1,0,0,0,0
7,7,0,1,0,0,0,0
8,0,8,0,4,1.24776114669613,0,1.24776114669613
8,1,7,0,3,0.864186783067182,0,0.864186783067182
8,2,6,0,3,0.864186783067182,0,0.864186783067182
8,3,5,0,2,0.434745566747388,0,0.434745566747388
8,4,4,1,2,0.434745566747388,0,0.434745566747388
8,5,3,1,1,0.112440852435657,0,0.112440852435657
8,6,2,1,1,0.112440852435657,0,0.112440852435657
8,7,1,1,0,0,0,0
8,8,0,2,0,0.0984880965553853,0.0984880965553853,0
9,0,9,0,4,1.24776114669613,0,1.24776114669613
9,1,8,0,4,1.24776114669613,0,1.24776114669613
9,2,7,0,3,0.864186783067182,0,0.864186783067182
9,3,6,0,3,0.864186783067182,0,0.864186783067182
9,4,5,1,2,0.434745566747388,0,0.434745566747388
9,5,4,1,2,0.434745566747388,0,0.434745566747388
9,6,3,1,1,0.112440852435657,0,0.112440852435657
9,7,2,1,1,0.112440852435657,0,0.112440852435657
9,8,1,2,0,0.0984880965553853,0.0984880965553853,0
9,9,0,2,0,0.0984880965553853,0.0984880965553853,0
10,0,10,0,5,1.64961114012738,0,1.64961114012738
10,1,9,0,4,1.24776114669613,0,1.24776114669613
10,2,8,0,4,1.24776114669613,0,1.24776114669613
10,3,7,0,3,0.864186783067182,0,0.864186783067182
10,4,6,1,3,0.864186783067182,0,0.864186783067182
10,5,5,1,2,0.434745566747388,0,0.434745566747388
10,6,4,1,2,0.434745566747388,0,0.434745566747388
10,7,3,1,1,0.112440852435657,0,0.112440852435657
10,8,2,2,1,0.210928948991042,0.0984880965553853,0.112440852435657
10,9,1,2,0,0.0984880965553853,0.0984880965553853,0
10,10,0,2,0,0.0984880965553853,0.0984880965553853,0
11,0,11,0,5,1.64961114012738,0,1.64961114012738
11,1,10,0,5,1.64961114012738,0,1.64961114012738
11,2,9,0,4,1.24776114669613,0,1.24776114669613
11,3,8,0,4,1.24776114669613,0,1.24776114669613
11,4,7,1,3,0.864186783067182,0,0.864186783067182
11,5,6,1,3,0.864186783067182,0,0.864186783067182
11,6,5,1,2,0.434745566747388,0,0.434745566747388
11,7,4,1,2,0.434745566747388,0,0.434745566747388
11,8,3,2,1,0.210928948991042,0.0984880965553853,0.112440852435657
11,9,2,2,1,0.210928948991042,0.0984880965553853,0.112440852435657
11,10,1,2,0,0.0984880965553853,0.0984880965553853,0
11,11,0,2,0,0.0984880965553853,0.0984880965553853,0
12,0,12,0,6,2.09368195347993,0,2.09368195347993
12,1,11,0,5,1.64961114012738,0,1.64961114012738
12,2,10,0,5,1.64961114012738,0,1.64961114012738
12,3,9,0,4,1.24776114669613,0,1.24776114669613
12,4,8,1,4,1.24776114669613,0,1.24776114669613
12,5,7,1,3,0.864186783067182,0,0.864186783067182
12,6,6,1,3,0.864186783067182,0,0.864186783067182
12,7,5,1,2,0.434745566747388,0,0.434745566747388
12,8,4,2,2,0.533233663302773,0.0984880965553853,0.434745566747388
12,9,3,2,1,0.210928948991042,0.0984880965553853,0.112440852435657
12,10,2,2,1,0.210928948991042,0.0984880965553853,0.112440852435657
12,11,1,2,0,0.0984880965553853,0.0984880965553853,0
12,12,0,3,0,0.431371675175746,0.431371675175746,0
13,0,13,0,6,2.09368195347993,0,2.09368195347993
