kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,2,0,1,0.112846531220752,0,0.112846531220752
2,1,1,0,0,0,0,0
2,2,0,0,0,0,0,0
3,0,3,0,1,0.112846531220752,0,0.112846531220752
3,1,2,0,1,0.112846531220752,0,0.112846531220752
3,2,1,0,0,0,0,0
3,3,0,0,0,0,0,0
4,0,4,0,2,0.434271598141036,0,0.434271598141036
4,1,3,0,1,0.112846531220752,0,0.112846531220752
4,2,2,0,1,0.112846531220752,0,0.112846531220752
4,3,1,0,0,0,0,0
4,4,0,1,0,0,0,0
5,0,5,0,2,0.434271598141036,0,0.434271598141036
5,1,4,0,2,0.434271598141036,0,0.434271598141036
5,2,3,0,1,0.112846531220752,0,0.112846531220752
5,3,2,0,1,0.112846531220752,0,0.112846531220752
5,4,1,1,0,0,0,0
5,5,0,1,0,0,0,0
6,0,6,0,3,0.863760544631394,0,0.863760544631394
6,1,5,0,2,0.434271598141036,0,0.434271598141036
6,2,4,0,2,0.434271598141036,0,0.434271598141036
6,3,3,0,1,0.112846531220752,0,0.112846531220752
6,4,2,1,1,0.112846531220752,0,0.112846531220752
6,5,1,1,0,0,0,0
6,6,0,1,0,0,0,0
7,0,7,0,3,0.863760544631394,0,0.863760544631394
7,1,6,0,3,0.863760544631394,0,0.863760544631394
7,2,5,0,2,0.434271598141036,0,0.434271598141036
7,3,4,0,2,0.434271598141036,0,0.434271598141036
7,4,3,1,1,0.112846531220752,0,0.112846531220752
7,5,2,1,1,0.112846531220752,0,0.112846531220752
7,6,1,1,0,0,0,0
7,7,0,1,0,0,0,0
8,0,8,0,4,1.24839079551871,0,1.24839079551871
8,1,7,0,3,0.863760544631394,0,0.863760544631394
8,2,6,0,3,0.863760544631394,0,0.863760544631394
8,3,5,0,2,0.434271598141036,0,0.434271598141036
8,4,4,1,2,0.434271598141036,0,0.434271598141036
8,5,3,1,1,0.112846531220752,0,0.112846531220752
8,6,2,1,1,0.112846531220752,0,0.112846531220752
8,7,1,1,0,0,0,0
8,8,0,2,0,0.104965717735598,0.104965717735598,0
9,0,9,0,4,1.24839079551871,0,1.24839079551871
9,1,8,0,4,1.24839079551871,0,1.24839079551871
9,2,7,0,3,0.863760544631394,0,0.863760544631394
9,3,6,0,3,0.863760544631394,0,0.863760544631394
9,4,5,1,2,0.434271598141036,0,0.434271598141036
9,5,4,1,2,0.434271598141036,0,0.434271598141036
9,6,3,1,1,0.112846531220752,0,0.112846531220752
9,7,2,1,1,0.112846531220752,0,0.112846531220752
9,8,1,2,0,0.104965717735598,0.104965717735598,0
9,9,0,2,0,0.104965717735598,0.104965717735598,0
10,0,10,0,5,1.65075133374235,0,1.65075133374235
10,1,9,0,4,1.24839079551871,0,1.24839079551871
10,2,8,0,4,1.24839079551871,0,1.24839079551871
10,3,7,0,3,0.863760544631394,0,0.863760544631394
10,4,6,1,3,0.863760544631394,0,0.863760544631394
10,5,5,1,2,0.434271598141036,0,0.434271598141036
10,6,4,1,2,0.434271598141036,0,0.434271598141036
10,7,3,1,1,0.112846531220752,0,0.112846531220752
10,8,2,2,1,0.217812248956349,0.104965717735598,0.112846531220752
10,9,1,2,0,0.104965717735598,0.104965717735598,0
10,10,0,2,0,0.104965717735598,0.104965717735598,0
11,0,11,0,5,1.65075133374235,0,1.65075133374235
11,1,10,0,5,1.65075133374235,0,1.65075133374235
11,2,9,0,4,1.24839079551871,0,1.24839079551871
11,3,8,0,4,1.24839079551871,0,1.24839079551871
11,4,7,1,3,0.863760544631394,0,0.863760544631394
11,5,6,1,3,0.863760544631394,0,0.863760544631394
11,6,5,1,2,0.434271598141036,0,0.434271598141036
11,7,4,1,2,0.434271598141036,0,0.434271598141036
11,8,3,2,1,0.217812248956349,0.104965717735598,0.112846531220752
11,9,2,2,1,0.217812248956349,0.104965717735598,0.112846531220752
11,10,1,2,0,0.104965717735598,0.104965717735598,0
11,11,0,2,0,0.104965717735598,0.104965717735598,0
12,0,12,0,6,2.09119609319971,0,2.09119609319971
12,1,11,0,5,1.65075133374235,0,1.65075133374235
12,2,10,0,5,1.65075133374235,0,1.65075133374235
12,3,9,0,4,1.24839079551871,0,1.24839079551871
12,4,8,1,4,1.24839079551871,0,1.24839079551871
12,5,7,1,3,0.863760544631394,0,0.863760544631394
12,6,6,1,3,0.863760544631394,0,0.863760544631394
12,7,5,1,2,0.434271598141036,0,0.434271598141036
12,8,4,2,2,0.539237315876634,0.104965717735598,0.434271598141036
12,9,3,2,1,0.217812248956349,0.104965717735598,0.112846531220752
12,10,2,2,1,0.217812248956349,0.104965717735598,0.112846531220752
12,11,1,2,0,0.104965717735598,0.104965717735598,0
12,12,0,3,0,0.437841411086494,0.437841411086494,0
13,0,13,0,6,2.09119609319971,0,2.09119609319971
13,1,12,0,6,2.09119609319971,0,2.09119609319971
